OBJECTID,RWCOMPKEY,FROM_ADDRE,TO_ADDRESS,ROADNAME,DIR,STRNAME,TYPE,LOCROSSPR,LOCROSSNA,LOCROSSSU,HICROSSPR,HICROSSNA,HICROSSSU,MUNI_NAME,COUNDIST,OWNER_NAME,CORE_CLASS,ROUTE_LBL,LENGTH,PRIORITY_R,ROUTE_UNIQ,CORRIDOR_N,BEGIN_LOCA,BMP,END_LOCATI,EMP,TOTAL_EPDO,EPDO_MILE,TOTAL_KA_C,KA_MILE,JUSTICE40_,PERCENT_JU,OWNER,SHAPELEN
303,16480,800,827,E BROADWAY,E,BROADWAY, ,S,SHELBY,ST, ,LOGAN,ST,LOUISVILLE,4,STATE,MAJOR ARTERIAL,US-150,3.3535,1,056-US-0150  -000,Broadway,S 22nd St (US 31W-001),0.7405,Baxter Ave (US 31E),4.094,19419.4,5792,48,14.30913698,3.353,1,KYTC,381.371630494518
304,21072,3012,3099,DIXIE HWY, ,DIXIE,HWY, ,GAREY,LN, ,RALPH,AVE,SHIVELY,3,STATE,MAJOR ARTERIAL,US-31W,14.536,10,056-US-0031W -000,Dixie Hwy,Depot Lane,2.974,Bernheim Ln (US 31W),17.51,49906,3433,150,10.3,12.626,0.86860209,KYTC,356.302526752673
305,5140,2810,2813,HIKES LN, ,HIKES,LN, ,ROSEMONT,CT, ,GLENMEADE,RD,LOUISVILLE,26,METRO,MINOR ARTERIAL, ,2.399,36,056-CR-1002G -000,Hikes Lane,Buechel Byp (US 31E),0.797,Taylorsville Rd (KY 155),3.196,5776,2407.66986244,15,6.25260525,0.191,0.07961651,METRO,314.479556288197
306,25700,7428,7499,3RD STREET RD, ,3RD STREET,RD, ,HUNT CLUB,LN, ,MAE,CT,LOUISVILLE,25,STATE,MINOR ARTERIAL,KY-907,4.91,50,056-KY-0907  -000,3rd Street Rd (KY 907),E Pages Ln / Highcrest Ave,2.09,National Turnpike (KY 1020),7,13188,2003.64630811,41,6.22910969,4.251,0.64585232,KYTC,268.933989403069
307,24204,7246,7250,SOUTHSIDE DR, ,SOUTHSIDE,DR, ,WOODMORE,AVE, ,WOODMORE,AVE,LOUISVILLE,25,STATE,MINOR ARTERIAL,KY-907,4.91,50,056-KY-0907  -000,3rd Street Rd (KY 907),E Pages Ln / Highcrest Ave,2.09,National Turnpike (KY 1020),7,13188,2003.64630811,41,6.22910969,4.251,0.64585232,KYTC,69.9288175970009
308,16981,1156,1159,DIXIE HWY, ,DIXIE,HWY, ,HALE,AVE, ,HALE,AVE,LOUISVILLE,4,METRO,MINOR ARTERIAL, ,2.008,29,056-CS-1030F -000,Dixie Hwy,W Broadway (US 150),0,Bernheim Lane (US 31W),2.008,5174,2576.69322709,13,6.47410359,2.008,1,METRO,55.4387683056722
309,23541,4730,4899,POPLAR LEVEL RD, ,POPLAR LEVEL,RD, ,CONTRACTORS,CT,E,INDIAN,TRL,LOUISVILLE,10,STATE,MAJOR ARTERIAL,KY-864,7.117,41,056-KY-0864  -000,Poplar Level Rd,Fern Valley Rd (KY 1747),6.596,Eastern Pkwy (US 60A),13.713,16064,2257.13081355,44,6.18238022,4.725,0.66390333,KYTC,1861.23834312499
310,22289,4075,4077,CANE RUN RD, ,CANE RUN,RD, ,I 264 RAMP, , ,I 264 RAMP, ,LOUISVILLE,1,STATE,MINOR ARTERIAL,KY-1934,11.502,21,056-KY-1934  -000,Greenbelt Hwy / Cane Run Rd,Gene Snyder Fwy (KY 841),0,Algonquin Pkwy (KY 2054),11.502,31389,2729.00365154,100,8.69414015,9.201,0.79994784,KYTC,95.0591774109465
311,18047,300,399,E HILL ST,E,HILL,ST,S,FLOYD,ST,E,BURNETT,AVE,LOUISVILLE,6,METRO,MINOR ARTERIAL, ,0.359,25,056-CS-1259F -000,E Hill St (CS-1259F),S Preston St (CS-1524F),0.191,S 1st St (CS-1002F),0.55,2714,2658.17825661,6,5.87659158,1.021,1,METRO,818.158574259208
312,18518,1410,1424,POPLAR LEVEL RD, ,POPLAR LEVEL,RD, ,MAYER,AVE, ,CLARKS,LN,LOUISVILLE,10,STATE,MAJOR ARTERIAL,KY-864,7.117,41,056-KY-0864  -000,Poplar Level Rd,Fern Valley Rd (KY 1747),6.596,Eastern Pkwy (US 60A),13.713,16064,2257.13081355,44,6.18238022,4.725,0.66390333,KYTC,185.62605218557
313,26335,3448,3449,NEWBURG RD, ,NEWBURG,RD, ,SPRING CREEK,CT, ,CHAMPIONS TRACE,LN,WEST BUECHEL,10,STATE,MINOR ARTERIAL,KY-1703,2.593,30,056-KY-1703  -000,Newburg Rd,Bluegrass Park Dr (CS-1185G),1.25,Bellarmine Blvd (PS-1084G),3.843,6510.5,2510.79830312,18,6.94176629,1.066,0.41110683,KYTC,393.569712148852
314,31815,2008,2014,ROCKFORD LN, ,ROCKFORD,LN, ,KENROSE,LN, ,TREE ISLAND,CT,SHIVELY,3,STATE,MINOR ARTERIAL,KY-2051,1.975,14,056-KY-2051  -000,Rockford Ln,Dixie Hwy (US 31W),0,Cane Run Rd (KY 1934),1.975,6318,3198.98734177,20,10.12658228,1.975,1,KYTC,115.803240995233
315,22944,4236,4299,DIXIE HWY, ,DIXIE,HWY, ,I 264 RAMP, , ,I 264 RAMP, ,SHIVELY,3,STATE,MAJOR ARTERIAL,US-31W,14.536,10,056-US-0031W -000,Dixie Hwy,Depot Lane,2.974,Bernheim Ln (US 31W),17.51,49906,3433,150,10.3,12.626,0.86860209,KYTC,760.580490105309
316,9782,2025,2039,SHEPHERDSVILLE RD, ,SHEPHERDSVILLE,RD, ,ST FRANCIS,AVE, ,BASHFORD,AVE,WEST BUECHEL,10,STATE,MINOR ARTERIAL,KY-2052,2.908,39,056-KY-2052  -000,Shepherdsville Rd,Fern Valley Rd (KY 1747),1.214,Hikes Lane (KY 2052),4.122,6742,2318.43191197,20,6.87757909,2.908,1,KYTC,304.474194729619
317,25848,4500,4549,SOUTHERN PKY, ,SOUTHERN,PKY,W,SOUTHERN HEIGHTS,AVE,W,ASHLAND,AVE,LOUISVILLE,21,STATE,MINOR ARTERIAL,KY-1020,1.313,35,056-KY-1020  -000,Southern Pkwy,W Woodlawn Ave (CS-1096F),7.837,S 3rd St (CS-1013F),9.15,3174,2417.3648134,11,8.37776085,1.313,1,KYTC,1472.83774894865
