X,Y,OBJECTID,UNITID,SIGID,MAINSTREET,CROSSSTREET,OWNER2,ROUTE,MILEPOINT,DESCRIPTION,TIMES,OWNER,TYPE,INTID,ATMSID
1208397.68375,276538.942499995,858,MPW005860,SIG005860,GUTHRIE,2ND,S,KY-1020,12.634,GUTHRIE @ 2ND,24 HOURS,KYTC,1, 1642326735872,
1211046.0,275723.125,859,MPW006254,SIG006254,CHESTNUT,JACKSON,S,KY-61,12.458,CHESTNUT @ JACKSON,24 HOURS,KYTC,1, 1643811133292,
1213358.375,275362.686250001,860,MPW006620,SIG006620,CAMPBELL,CHESTNUT,M,,,CAMPBELL @ CHESTNUT,24 HOURS,METRO,1, 1645209241113,
1210910.75,274836.875,861,MPW006230,SIG006230,BROADWAY,JACKSON,S,US 150,3.074,BROADWAY @ JACKSON,24 HOURS,KYTC,1, 1647607013292,
1221110.375,278169.4375,862,MPW007564,SIG007564,BELLAIRE,FRANKFORT,S,US-60,0.532,BELLAIRE @ FRANKFORT,24 HOURS,KYTC,1, 1659704702323,
1207934.875,279821.71875,863,MPW005811,SIG005811,4TH,RIVER,S,KY-3077,0.625,4TH @ RIVER,24 HOURS,KYTC,1, 1669723045529,
1206814.0,278710.125,864,MPW005653,SIG005653,MARKET,6TH,S,US 31W,21.655,MARKET @ 6TH,24 HOURS,KYTC,1, 1671542146009,
1206262.375,278279.3125,865,MPW005551,SIG005551,JEFFERSON,7TH,M,,,JEFFERSON @ 7TH,24 HOURS,METRO,1, 1672333275899,
1206736.5,278206.0,866,MPW005635,SIG005635,JEFFERSON,6TH,M,,,JEFFERSON @ 6TH,24 HOURS,METRO,1, 1672433276009,
1209184.75,278341.625,867,MPW005994,SIG005994,1ST,MARKET,S,US 31W,17.669,1ST @ MARKET,24 HOURS,KYTC,1, 1676322234213,
1209059.5,277557.875,868,MPW005948,SIG005948,1ST,LIBERTY,M,,,1ST @ LIBERTY,24 HOURS,METRO,1, 1677322233844,
1204090.125,276800.5,869,MPW005087,SIG005087,CHESTNUT,11TH,M,,,CHESTNUT @ 11TH,24 HOURS,METRO,1, 1683511141899,
1198212.75,284542.8125,870,MPW003804,SIG003804,PORTLAND,26TH,S,KY-3064,0.445,PORTLAND @ 26TH,24 HOURS,KYTC,1, 1708451296583,
1189185.5,277094.6875,871,MPW002210,SIG002210,BROADWAY,CECIL,M,,,BROADWAY @ CECIL,24 HOURS,METRO,1, 1734207021026,
1189309.125,275837.25,872,MPW002223,SIG002223,CECIL,GARLAND,M,,,CECIL @ GARLAND,24 HOURS,METRO,1, 1736610262482,
1205044.375,256296.03125,873,MPW005319,SIG005319,3RD,WHITNEY,M,,,3RD @ WHITNEY,24 HOURS,METRO,1, 1779964387175,
1204520.5,255275.359999999,874,MPW005176,SIG005176,FLORENCE,SOUTHERN,S,KY-1020,8.484,FLORENCE @ SOUTHERN,24 HOURS,KYTC,1, 1793022506052,
1192079.75,254848.28125,875,MPW002691,SIG002691,DIXIE,GARRS,S, US-31W,15.12,DIXIE @ GARRS,24 HOURS,KYTC,1, 1798616122488,
1194592.875,254741.0,876,MPW003055,SIG003055,CRUMS,MANSLICK,S,KY-1931,7.919,CRUMS @ MANSLICK,24 HOURS,KYTC,1, 1799513584163,
1205039.0,254546.422499999,877,MPW005313,SIG005313,SOUTHERN HEIGHTS,3RD,S,I-264,0.087,SOUTHERN HEIGHTS @ 3RD,24 HOURS,KYTC,1, 1801260516438,
